Target,Account_names,lower_account_names,OR,Person or source,News_Source,City,Province,Country,CBC,,
1010WINS,1010WINS,1010WINS,OR,source,1010 Wins,New York,New York,USA,Not CBC,,
1075_KISS_NEWS,1075_KISS_NEWS,1075_KISS_NEWS,OR,source,1075 Kiss,Okanagan,British Columbia,Canada,Not CBC,,
1130reporter,1130reporter,1130reporter,OR,person,NEWS 1130,Vancouver,British Columbia,Canada,Not CBC,,
1310NEWS,1310NEWS,1310NEWS,OR,source,1310 News,Ottawa,Ontario,Canada,Not CBC,,
24hoursvan,24hoursvan,24hoursvan,OR,source,24 Hours Vancouver,Vancouver,British Columbia,Canada,Not CBC,,
250_News,250_News,250_News,OR,source,250 News,Prince George,British Columbia,Canada,Not CBC,,
570News,570News,570News,OR,source,570 News,Kitchener,Ontario,Canada,Not CBC,,
nanaimodotnews,nanaimodotnews,nanaimodotnews,OR,source,Nanaimo Dot News,Nanaimo,British Columbia,Canada,Not CBC,,
630CHED,630CHED,630CHED,OR,source,630 CHED,Edmonton,Alberta,Canada,Not CBC,,
660NEWS,660NEWS,660NEWS,OR,source,660 News,Calgary,Alberta,Canada,Not CBC,,
660NEWSTRAFFIC,660NEWSTRAFFIC,660NEWSTRAFFIC,OR,source,660 News,Calgary,Alberta,Canada,Not CBC,,
680CJOB,680CJOB,680CJOB,OR,source,680 CJOB,Winnipeg,Manitoba,Canada,Not CBC,,
680NEWS,680NEWS,680NEWS,OR,source,680 News,Tornoto,Ontario,Canada,Not CBC,,
943theGOAT,943theGOAT,943theGOAT,OR,source,Vista Radio,British Columbia,British Columbia,Canada,Not CBC,,
abailey1130,abailey1130,abailey1130,OR,person,NEWS 1130,Vancouver,British Columbia,Canada,Not CBC,,
AbbyCBC,AbbyCBC,AbbyCBC,OR,person,CBC,Toronto,Ontario,Canada,CBC,,
AbbyNews,AbbyNews,AbbyNews,OR,source,Abby News,British Columbia,British Columbia,Canada,Not CBC,,
