"","source_id","Target","new_id","link","pubdate","source","tweet","post_method","user_statuses","user_following","user_followers","user_created_at","user_bio","user_location","lang","Person or source","News_Source","City","Province","Country","CBC","TweetToCBC","TweetToNOTCBC","mean(TweetToCBC)"
"20",14,"icbc",97072,"https://twitter.com/_agustindanieel/statuses/909835538273902592",2017-09-18 14:44:00,"_agustindanieel","rt @icbcargentina: potenciate como iván y canjeá tus puntos #icbcclub    + pesos en turismo y cientos de productos!     destinos increíbles      ","Twitter for Android",16127,341,566,"Tue Jul 19 08:20:26 +0000 2016",". sagitariano  . ese por siempre nuestro sera             /                                     agusdaniel            .","parque avellaneda mas bienn","es","source","CBC","Quebec","Quebec","Canada","CBC",1,0,1
"23",17,"cbc",67445,"https://twitter.com/_andy_gibb_/statuses/910201158551007232",2017-09-19 14:57:00,"_andy_gibb_","rt @cbc: these animals found in canada have names rooted in indigenous languages. https://t.co/bewbaximn https://t.co/bhcgdivmrc","Twitter Web Client",2882,242,157,"Wed Jun 05 23:17:11 +0000 2013","no, not that andy gibb... https://t.co/utpbiypj","vancouver, bc","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"33",27,"cbc",67092,"https://twitter.com/_ConsumedByInk/statuses/910191564290478081",2017-09-19 14:19:00,"_consumedbyink","rt @wolsakandwynn: congrats to @beckyblake_, whose debut novel will appear with w&amp;w in , on winning the  @cbc nonfiction prize.htt ","Twitter Web Client",2582,526,311,"Sun May 01 14:30:32 +0000 2016","reader, blogger, canlit enthusiast","nova scotia, canada","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"59",41,"icbc",96508,"https://twitter.com/_filipvavra_/statuses/909818939974275072",2017-09-18 13:38:00,"_filipvavra_","rt @lidovky: nejv t í banka sv ta,  ínská icbc, je na  erné listin  usa. zeman ji táhne do nákupu vítkovic https://t.co/vktexueq https:// ","Twitter for iPhone",1333,89,60,"Fri Apr 11 20:56:19 +0000 2014",NA,"prague","cs","source","CBC","Quebec","Quebec","Canada","CBC",1,0,1
"71",51,"cbc",20423,"https://twitter.com/_jmsmith/statuses/910228662921961472",2017-09-19 16:46:00,"_jmsmith","rt @susandelacourt: two national networks, #ctv and #cbc,  just broke away from pm\'s press conference to give @realdonaldtrump some air tim ","Twitter for iPhone",4998,204,253,"Sun Dec 25 23:45:22 +0000 2011","            digital content creator ||            writer ||             uogh \' ||             somewhere in canada","toronto, ontario","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"118",79,"iciradiocanada",101386,"https://twitter.com/_REFAD/statuses/910132281649635328",2017-09-19 10:23:00,"_refad","mathématiques : soustraire les examens pour multiplier les réussites (@iciradiocanada) https://t.co/cmnmcp","Twitter Web Client",10326,795,3375,"Wed May 13 23:06:26 +0000 2009","réseau d\'enseignement francophone à distance du canada (refad)",NA,"fr","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"119",79,"iciradiocanada",102183,"https://twitter.com/_REFAD/statuses/910162494030827521",2017-09-19 12:23:00,"_refad","faut-il s\'inquiéter du niveau de français des futurs enseignants? (@iciradiocanada) https://t.co/vyxvfutad","Twitter Web Client",10330,8,3375,"Wed May 13 23:06:26 +0000 2009","réseau d\'enseignement francophone à distance du canada (refad)",NA,"fr","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"124",84,"cbc",3437,"https://twitter.com/_sci_guy_/statuses/910137854516432897",2017-09-19 10:45:00,"_sci_guy_","rt @cbcpolitics: scientists say no doubt about impact of neonicotinoids on birds, bees https://t.co/udsjyrhlsk #hw #cdnpoli https://t.co/fe ","Twitter Web Client",1150,222,11,"Wed Jul 28 18:32:34 +0000 2010",NA,NA,"en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"129",89,"cbc",67591,"https://twitter.com/_SyNapz420/statuses/910210729726431233",2017-09-19 15:35:00,"_synapz420","@cutcbc #hmmm....but most #canadians are looking for....changes in the \'firing\' practices....to @cbc staff &amp; manage  https://t.co/bvgriixu","Twitter Web Client",14557,1195,1386,"Tue Mar 22 17:47:05 +0000 2016","#hmmm....my philosophy floats precariously....in the tide pool of human evolution....like a ball of confusion....","eworld / iverse","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"130",89,"cbc",60704,"https://twitter.com/_SyNapz420/statuses/909813116959170560",2017-09-18 13:15:00,"_synapz420","#hmmm....i have cut ties w/ @cbcradio ....@itvcorrie, @julienesrallah &amp; @cbctempo are my only connection...to the  https://t.co/ehzmjn","Twitter Web Client",14512,1190,1385,"Tue Mar 22 17:47:05 +0000 2016","#hmmm....my philosophy floats precariously....in the tide pool of human evolution....like a ball of confusion....","eworld / iverse","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
"151",108,"heartlandoncbc",66637,"https://twitter.com/03arsenault/statuses/910171360533422080",2017-09-19 12:58:00,"03arsenault","rt @heartlandoncbc: here you go fans. lots more of this come sunday when season  premieres at ;pm on @cbc                                                 #iloveheartland @graham ","Twitter for iPad",186,47,6,"Sun Nov 01 23:54:44 +0000 2015","i married to a wonderful husband   i have to dogs sheba and muffet. i also have bird her name is chico.","cariboo, british columbia","en","source","CBC","Canada","Canada","Canada","CBC",1,0,1
