,source_id,news handle,new_id,link,pubdate,source,tweet,post_method,user_statuses,user_following,user_followers,user_created_at,user_bio,user_location,lang,Person or source,Target,City,Province,Country,CBC,TweetToCBC,TweetToNOTCBC,mean(TweetToCBC)
5,4,cbc,13300,https://twitter.com/__11Max/statuses/910196707169841152,2017-09-19 14:39,__11max,rt @canadamediabias: wonder if #fakenews cbc has trudeau\'s team directly writing these articles for them? #defundcbc #trudeamust go https:/ ,Twitter for iPhone,1334,222,132,Sat Feb 04 17:22:32 +0000 2017,NA,north america,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.666666667
6,4,cbc,17759,https://twitter.com/__11Max/statuses/910212702475313159,2017-09-19 15:43,__11max,"@cbcpolitics change ""tax fairness"" to ""trudeau rip off tax"". there i fixed it for you. #fakepm",Twitter for iPhone,1338,222,132,Sat Feb 04 17:22:32 +0000 2017,NA,north america,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.666666667
7,4,nationalpost,33297,https://twitter.com/__11Max/statuses/910300615481405440,2017-09-19 21:32,__11max,rt @franktmcveety: trudeau s plan to kill energy east without getting caught https://t.co/xoxqdnje via @nationalpost,Twitter for iPhone,1345,222,132,Sat Feb 04 17:22:32 +0000 2017,NA,north america,en,source,National Post,Canada,Canada,Canada,Not CBC,0,1,0.666666667
8,4,cbc,44764,https://twitter.com/__11Max/statuses/909852302349144064,2017-09-18 15:51,__11max,rt @dean: @cbcpolitics leave it to the cbc to come to the liberals aid. how many private corps do trudeau and morneau have? panama pape ,Twitter for iPhone,1270,222,129,Sat Feb 04 17:22:32 +0000 2017,NA,north america,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.666666667
9,4,cbc,44644,https://twitter.com/__11Max/statuses/909853088126767110,2017-09-18 15:54,__11max,@cbcpolitics instead of this load of crap story cbc you should be investigating moneybags morneau and trudeau\'s bus  https://t.co/xeikqjyy,Twitter for iPhone,1270,222,129,Sat Feb 04 17:22:32 +0000 2017,NA,north america,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.666666667
10,4,nationalpost,94583,https://twitter.com/__11Max/statuses/910300615481405440,2017-09-19 21:32,__11max,rt @franktmcveety: trudeau s plan to kill energy east without getting caught https://t.co/xoxqdnje via @nationalpost,Twitter for iPhone,1346,222,132,Sat Feb 04 17:22:32 +0000 2017,NA,north america,en,source,National Post,Canada,Canada,Canada,Not CBC,0,1,0.666666667
47,36,cbc,45882,https://twitter.com/_dralaterdzo/statuses/909859083544678400,2017-09-18 16:18,_dralaterdzo,rt @cbcalerts: sask. rcmp looking for missing woman from lac la ronge. -year-old has been missing since sept. : https://t.co/alwspwn,Twitter for iPhone,83287,4586,3431,Mon Mar 02 20:56:34 +0000 2009,"deception expert, retired psych, left us  canada, love travel to india & hope to connect with others that do. s feminist #impeach  #theresistance                                     ",canada,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.5
48,36,globalhalifax,45919,https://twitter.com/_dralaterdzo/statuses/909858760604176385,2017-09-18 16:16,_dralaterdzo,rt @globalhalifax: the two men are described as white and one had a tattoo on his right cheek below his eye.https://t.co/pwedqjibj,Twitter for iPhone,83287,4586,3431,Mon Mar 02 20:56:34 +0000 2009,"deception expert, retired psych, left us  canada, love travel to india & hope to connect with others that do. s feminist #impeach  #theresistance                                     ",canada,en,source,Global,Halifax,Nova Scotia,Canada,Not CBC,0,1,0.5
83,62,cbc,27169,https://twitter.com/_Maggie_Price_/statuses/910266886394306560,2017-09-19 19:18,_maggie_price_,rt @cbcalerts: minister carolyn bennett urges conservatives to kick senator lynn beyak out of caucus: https://t.co/pqyabul #cdnpoli,Twitter for Android,13251,1051,716,Tue Aug 15 08:00:03 +0000 2017,"every bit as flawed as you are with poor enough self esteem to admit it. in canada, not sorry. yes i\'m judging you. buried under labels & unread books. blogger.",where anxiety meets depression,en,source,CBC,Canada,Canada,Canada,CBC,1,0,0.5
84,62,natnewswatch,82812,https://twitter.com/_Maggie_Price_/statuses/909982832600129536,2017-09-19 0:29,_maggie_price_,"rt @natnewswatch: boom! liberals maintain double-digit lead despite khadr payout, proposed tax reforms: poll https://t.co/tyactohd via @t ",Twitter for Android,13101,1043,707,Tue Aug 15 08:00:03 +0000 2017,"every bit as flawed as you are with poor enough self esteem to admit it. in canada, not sorry. yes i\'m judging you. buried under labels & unread books. blogger.",where anxiety meets depression,en,source,Nat News Watch,Canada,Canada,Canada,Not CBC,0,1,0.5
100,71,michaeltgorman,14100,https://twitter.com/_NSHC/statuses/910200040924295169,2017-09-19 14:52,_nshc,rt @michaeltgorman: breaking: @oag_ns to audit @iwkhealthcentre #nspoli,Twitter Web Client,2894,495,1093,Fri Jun 24 11:12:31 +0000 2011,nova scotians coming together to defend and improve public health care.,"halifax, ns",en,person,CBC,Halifax,Nova Scotia,Canada,CBC,1,0,0.666666667
101,71,michaeltgorman,15832,https://twitter.com/_NSHC/statuses/910207461453369344,2017-09-19 15:22,_nshc,rt @michaeltgorman: nova scotia auditor general to investigate iwk https://t.co/lnmqknm #nspoli,Twitter Web Client,2897,495,1093,Fri Jun 24 11:12:31 +0000 2011,nova scotians coming together to defend and improve public health care.,"halifax, ns",ro,person,CBC,Halifax,Nova Scotia,Canada,CBC,1,0,0.666666667
